ID Participante;Desafio- Reflexión;Expectativa
Participante 01;Uno de los desafíos técnicos más relevantes que enfrenté en proyectos anteriores fue la integración y consolidación de más de 50 reportes provenientes de distintas áreas y fuentes de datos. El principal problema era la duplicidad de información, diferencias en definiciones de indicadores y tiempos de actualización inconsistentes. La solución consistió en diseñar un modelo de datos centralizado, estandarizar reglas de negocio y automatizar los procesos de integración y actualización. Esto permitió reducir inconsistencias, mejorar el rendimiento de los reportes y entregar una visión única y confiable para la toma de decisiones. En Grupo Saesa, si bien no he enfrentado un desafío de esa magnitud en reportabilidad, considero que una estrategia similar basada en gobernanza de datos, modelos semánticos compartidos y automatización de procesos permitiría abordar exitosamente escenarios de integración complejos.;Mis expectativas del Programa de Analítica Digital de Grupo Saesa son fortalecer y actualizar mis conocimientos en analítica de datos, inteligencia artificial y plataformas de análisis modernas, incorporando buenas prácticas y tendencias que permitan generar mayor valor para el negocio. Me gustaría profundizar especialmente en arquitecturas de datos modernas (Microsoft Fabric, Lakehouse y OneLake), gobierno de datos, analítica avanzada e inteligencia artificial aplicada a procesos de negocio. También me interesa conocer experiencias y casos de uso que permitan acelerar la toma de decisiones basada en datos y potenciar la transformación digital de la organización.
Participante 02;Levantamiento de dominios de datos, tomando distintos orígenes y disponibilizarlos luego de pasar por la metodología Medallion;Adquirir los conocimientos necesarios para aplicar sobre Fabric
Participante 03;No registrado / No aplica;Aprender sobre los datalakes y el uso de fabric como herramienta de reporte para informes de datos.
Participante 04;Hasta ahora con el equipo se ha resuelto usando Python e IA para generar códigos;Quisiera tener una introducción y luego ejercicios más prácticos
Participante 05;Se está creando reportes en el área, los cuales, se están mejorando para poder llevarlos a Fabric.;El aprender y tener una buena base
Participante 06;Analizar datos solo con excel intermedio.;Aprender y potenciar mi colaboración dentro de la empresa
Participante 07;Como Coordinador de Gobierno de datos me toco participar del diseño de los -Dominios de datos en Fabric, a partir de ahi empece a trabajar en Fabric de a poco me ido metiendo mas y mas;Aprender mas del uso de Fabric y aterrizado en la Analitica
Participante 08;el reconocimiento de tipo de datos para poder categorizar el tipo de visualización de una formula que le entregue.;Ninguna, desde 0
Participante 09;Solo he utilizado Fabric para mantener actualizada algunas planillas y arreglarlas un poco utilizando un query. Realmente he ido aprendiendo mediante prueba y error, lo que no tengo mucha más experiencia en Fabric aparte de eso.;Quiero aprender a utilizar Fabric de manera correcta desde lo básico.
Participante 10;Actualmente me encuentro desarrollando una solución que permita a la gente solamente subir archivos a un Sharepoint y que se hagan cruces en esos archivos y que además traiga más datos desde un LH, para después hacer el envío de los datos finales mediante correo y por otro lado que se actualice un Power Bi. Para esta solución estoy usando Power Automate, Pipeline de Fabric junto con el Bloc de Notas y para posteriormente usar Power Bi.;Hay varios aspectos que no conozco específicamente de la herramienta de Fabric ya que de por si hay muchas restricciones por parte de TI, entonces he optado por hacer buscar otros caminos. Con este Programa espero que nos permitan la habilitación de nuevos permisos en la empresa con la finalidad de poder realmente hacer cosas que aporten valor.
Participante 11;Procesar y consoldar manualmente grandes volumenes de datos extradiso de multiples sistemas operativos para la generación de reportes peiodicos, lo cual generaba cuellos de botellas, errores manuales. Automatizacmos un flujo automatizado en UiPath y Python para la extracción automatica de datos, integrandolo con un modelo de datos.;Poder entender un poco más y poder tener ideas para mi área
Participante 12;Solo a nivel usuario de un PBI;Aprender a pensar en estructura
Participante 13;Solo experiencias básicas con PBI.;Sumar conocimiento y práctica de las herramientas de analítica digital de nuestro entorno empresarial, y así poder sumarlo a futuros proyectos, cuando sea el caso.
Participante 14;Uno de los desafíos que enfrenté fue la consolidación de información proveniente de distintas fuentes para la elaboración de reportes. En algunos casos, los datos presentaban diferencias de formato o registros incompletos, por lo que fue necesario revisarlos y validarlos antes de generar los informes, asegurando que la información reportada fuera consistente y confiable.;Espero fortalecer mis conocimientos en analítica de datos y conocer mejor las herramientas digitales utilizadas en Grupo Saesa. También me interesa aprender nuevas metodologías para el análisis de información y aportar con ideas que ayuden a mejorar la toma de decisiones basada en datos
Participante 15;No existía control y seguimiento de proyectos. Actualmente, rescato la información trazable desde los correos electrónicos y documentos relacionados a proyectos de concesión.;No registrado / No aplica
Participante 16;Tuve que consolidar información de distintos formatos, estructurada y no estructurada, en Lakehouses y con ello crear una estructura Medallion en los Datawarehouses. Lo complejo fue generar una estructura relacional dada la cantidad de información del área.;Quisiera poder llegar a un manejo experto de la plataforma Microsoft Fabric.
Participante 17;imágenes satelitales y procesamientos con Google engine;No registrado / No aplica
Participante 18;Uno de los principales desafíos fue integrar en fabric distintas fuentes de datos operacionales, geográficos y de mantenimiento para apoyar la planificación de vegetación. Los datos presentaban duplicados, valores nulos, diferencias en nombres de campos y criterios de clasificación contradictorios entre las fuentes. Para resolverlo, desarrolle un proceso en notebooks utilizando pyspark y sparksql, estructurando datos en un lakehouse, homologando variables y definiendo reglas de priorización entre las distintas fuentes. Además, incorpore controles de calidad, trazabilidad del origen de cada clasificación y tablas intermedias para revisar los resultados antes de generar la salida final utilizada en análisis y reportes de Power BI. Esto permitió transformar información dispersa en una base consolidada. reproducible y auditable para apoyar la toma de decisiones de planificación.;Espero que me permita fortalecer y formalizar mis conocimientos en fabric, analítica de datos y automatización, especialmente en aspectos como arquitectura de datos, buenas prácticas de desarrollo, gobierno, calidad y trazabilidad de la información.
Participante 19;Tenemos como equipos reportes PBI que se generan desde una base de más de 1 millón de datos y para los cuales se debe también consultar la historia. Por mi lado conocer el alcance de estas herramientas me permite repensar reportes y hacer que conexiones distintas, es más estratégico.;En mi caso aprender mucho sobre estas plataformas que se integran en nuestro día a día con mucha fuerza, quiero manejar mis datos sobre estas plataformas.
Participante 20;Base de datos, para reporte de inversiones en Dx;Aprender en profundidad el modo de trabajo en microsoft fabric
Participante 21;Actualización en vivo de paneles en base a información de Lakehouse, segmentada por usuarios de acuerdo a roles de visualización.;considerando que mi conocimiento sobre las funcionalidades de Fabric, me interesa familiarizarme con las formas de uso y las distintas herramientas que tiene
Participante 22;"Muchos. Por ejemplo, si pregunto cuantos clientes tiene SAESA hoy, la respuesta depende de donde consulte. Bases de datos de direcciones (depende donde busque), que significa que un servicio esté en modo pendiente en C4C, los estados en C4C no coinciden con SAP ni con el sistema geográfico... muchas inconsistencias. También a menudo necesito información de consumos de clientes o situaciones (historiales), contactabilidad de clientes, formas de actuar distintos en la zona que se pierde trazabilidad de datos, respaldos en planillas excel: trabajos que se realizan muchas veces y no se refleja el avance en los datos. Y lo más grave, reportes a SEC que salen con inconsistencias porque no existe una base única: recientemente, código de comuna de una dirección, vigencia de servicios, campos de servicios como por ejemplo ""tipo de consumo"".";Que tengamos una base única de datos, a la que podamos acceder cuando se requiera, con responsables únicos de sus modificaciones y que podamos bajar y trabajar datos sin necesidad de conseguirlos a través de terceros
Participante 23;Ninguno, recién estoy comenzando;Avanzar en mis conocimientos
Participante 24;Múltiples Bases de datos (casi todas en Excel) de distintos Gestores y su consolidación para la entrega de información de estatus de proyectos de Distribución Dx;Es una gran oportunidad para transitar la autopista de la Transformación Digital
Participante 25;No registrado / No aplica;Lo que busco es aprender nuevas herramientas que me ayuden en mi trabajo diario, para controlar, monitorear y alcanzar las métricas solicitadas.
Participante 26;Reducción de tamaño en archivos PBIX. Generalmente los archivos pibe que se desarrollan en el equipo son muy pesados para transportarlos a PRD, por lo que comenzamos a implementar direct lake en la conexión de orígenes de datos para disminuir tamaño y no impactar tanto los ambientes NO PRD. Creación de lakehosue para mejorar la trazabilidad y performance de actualización de informacion desde sharepoint. Se llevan datos a tales de dataflowsGen2 a lakehouse para que los demás equipos de la sugerencia puedan consumir datos transversales de manera mas eficiente y transparente.;Lograr administrar y gestionar los datos de manera mas eficiente para mi equipo, cumpliendo con los estándares del Grupo SAESA
Participante 27;Un desafío técnico que enfrente en Grupo SAESA fue mejorar la reportabilidad del área de tesorería mediante Power Bi, con foco en el proceso de pago a proveedores. El reto consisitó en integrar y consolidar información de distintas fuentes, depurar datos y diseñar indicadores que permita visualizar oportunamente el estado de los pagos, los plazos de ejecución y posibles desviaciones. A través de Power Bi, desarrolle reportes y dashboards que mejoraron la trazabilidad del proceso, redujeron los tiempos de analisis.;Mejorar en la reportabilidad de informes y el análisis de los datos
Participante 28;He tenido que realizar analisis de grandes datos solo utilizando excel.;Adquirir nuevos conocimientos para la utilización de datos para reportes y analitica
Participante 29;No tengo experiencia previa en Microsoft fabrics y deseo aprender a utilizarlo como desafío personal, abordando temas específicos en la vida laboral que puedan ayudar al desempeño de mis actividades.;Me gustaría ver las capacidades aplicables a mi área de desempeño laboral
Participante 30;Los principales desafíos han sido la estructuración de los datos, en general existe poca información desde origen sistémico, lo que generar una gran complejidad a la hora que trabajar los modelos semánticos.;Mi principal expectativa esta en obtener un mayor conocimiento conceptual de Microsoft Fabric, ya que actualmente lo manejo de forma mas practica.
Participante 31;Hasta el mes pasado me desempeñé como Encargado de la Unidad de Pérdidas Globales, donde impulsé la creación de una arquitectura medallón interna, similar a los estándares que plantea el equipo de gobierno de datos. En mi etapa de gestión, automaticé el cálculo del indicador de pérdidas mediante uso de programación orientada al objeto con Python y desarrollé múltiples algoritmos de validación de entradas para el cálculo y de análisis de variaciones.;Generar un quiebre en mi uso local de Python en VScode para pasar a usar Fabric.
Participante 32;Llevo poco tiempo en la empresa, principalmente me he desarrollado creando PBI, pero a partir de ir aprendiendo en el momento, siempre intento apoyarme en compañeros mas experimentados para la cumplir con lo deseado.;Me gustaria aprender la parte básica de todo el sistema, para mi será un inicio en fabric.
Participante 33;Ninguno, me inscribí, para aprender, realmente estoy partiendo de cero;aprender algo y luego aportar y apoyar en grupos de trabajo
Participante 34;Uno de los desafíos ha sido consolidar información proveniente de distintas fuentes, como SAP y planillas Excel, para generar reportes confiables y actualizados. Lo he aborado estandarizando los datos y automatizando parte de los procesos con herramientas como Excel, Power Query y PBI, reduciendo el trabajo manual;Espero poder fortalecer mis conocimientos en análisis de datos y aprender nuevas herramientas que me permitan automatizar procesos y aportar información de mayor valor para la toma de decisiones de la zonal
Participante 35;No registrado / No aplica;"Mientras más investigo, más me doy cuenta de las muchas cosas que se pueden hacer en Fabric, me gustaría poder tener una visión más amplia de todas las opciones; además, estoy seguro que hay más y mejores formas de optimización para lo que realizo, aprender alguna sería fantástico."
Participante 36;un desafío ha sido profundizar mis conocimientos en Fabric, lo que exige practica constante ,;Nuevas estrategias de practica constante para nuevos desarrollos , aplicacion de IA a Fabric
Participante 37;He almacenado conocimiento de powerbi a nivel avanzado utilizando Querys y ODBC pero necesito llevar todo esta estructura de dashboard en powerbi , orden y seguridad de Fabric;Poder aprender y manejar herramientas que me permitan dar automatizacion a la entrega de informes y registro de indicadores propios del negocio, tanto para la autoridad como para las distintas gerencias del grupo
Participante 38;integrar diferentes reportes en uno solo, la mayoria provenientes de excel.;Dejar la inercia de hacer las cosas de la misma forma, muchas veces por desconfianza a las automatizaciones, asi como el prejuicio de ver soluciones tecnológicas alejadas de uno por pensar que no tengo las suficientes habilidades computacionales para utilziarlas
Participante 39;Consolidar información en terreno a través de aplicación Synchroteam, y generar reporte amigable a la vista que reúna información relevante para tomar decisiones. Lo resolví con Excel, descargando diferentes planillas, para consolidar información y luego con tablas dinámicas modelar un reporte interactivo. Me gustaría aprender nuevas herramientas para automatizar el proceso y mejorarlo.;Me gustaría conocer la base, soy principiante, para mejorar mis habilidades en analítica digital. Y proponer mejoras en reportes, y soluciones a desafíos en el área de Control de Energía.
Participante 40;Uno de los principales desafíos fue la existencia de múltiples fuentes de información para distintos reportes, lo que generaba diferencia de datos y dificultaba la consistencia de los análisis. Para resolverlo, se centralizaron y orquestaron los orígenes de datos mediante Dataflows, publicando posteriormente la información en un Lakehouse. Esto permitió contar con una única fuente de información confiable y conectar los reportes de Power Bi sobre una base común y estandarizada Otro desafío estuvo relacionado con el proceso de generación de cumpleaños de colaboradores, que dependían de una descarga manual diaria de la base de trabajadores. Se automatizó este proceso mediante un Pipeline que consulta directamente la información almacenada en el Lakehouse. A través de consultas SQL, se extraen los datos necesarios, los cuales son transformados automáticamente en una tabla HTML , para su envío por correo electrónico, eliminando tareas manuales y mejorando la eficiente y confiablidad del proceso;Lograr tener conocimiento de mas herramientas que nos permitan al momento de enfrentarnos a un desafío saber cual es la mejor alternativa, tanto de seguridad como operacionalmente habblando
Participante 41;"Un desafío técnico clave que enfrenté en Grupo Saesa fue automatizar de inicio a fin el flujo de los Descriptores de Cargo (DC). El problema era lograr que la respuesta cualitativa de un agente de IA (basada en metodología HAY) no solo llenara una plantilla de Excel en SharePoint sin romper su formato, sino que también estructurara la información para nuestra reportabilidad. Para resolverlo, configuré el agente con una regla de 'incertidumbre cero' que fuerza la salida de un payload JSON estricto. A partir de ahí, Power Automate orquesta dos frentes: por un lado, inyecta las matrices de datos exactas en el Excel mediante un Office Script desarrollado en TypeScript; y por otro, graba automáticamente el registro en Microsoft Lists. Esto nos permitió resolver la creación del documento y, al mismo tiempo, enviar los datos en tiempo real a un dashboard de status para asegurar la trazabilidad y el seguimiento visual de todas las solicitudes.";Aprender desde una visión más teórica de que son capaces las herramientas a las cuales tenemos acceso, para fortalecer flujos de datos y tener resultados más confiables y rápidos
Participante 42;Integrar enlaces de fotografía en los reportes. Debí guardar los datos en Sharepoint y desde ahí genera un los enlaces para la visualización de estas. No logré generar un pop up para la visualización, lo que sí al hacer clic redirigía a la imagen.;Me gustaría aprender a cómo organizar un lakehouse de forma eficiente, y también aprender sobre cómo funciona Microsoft Fabric y hacer uso eficiente de los recursos.
Participante 43;Trabajo con grandes volumenes de datos eléctricos, data entregada por la autoridad ronda unos 12 millones de filas a procesar mes a mes. Un gran problema es hacer análisis anuales, dada la gran cantidad de datos.;Aprender la ventajas de usar Fabric, mejores usos, reducción de tiempo de procesamiento, conexión con python y power bi, generar valor, etc.
Participante 44;años atras realizaba reportes directo con datos en base de datos Oracle, y SqlServer. creando vistas, funciones, procedure, etc. a nivel de fabric solo conozco modelo conceptual.;Aprender de Fabric y tratar de construir modelos analíticos en base a la información disponible en SAESA
Participante 45;analizar procesos regulatorios que incluye muchas tablas de datos y millones de registros. Lo resolví con Excel+power query+power pivot, pero depende de la capacidad de excel y de la maquina. es poco agil;caracterizar grandes volumenes de datos, estructurados o no estructurados, y aplicar reglas de validacion y alertas.
Participante 46;Hay que diseñar dashboard;Aprender fabric
Participante 47;Uno de los desafíos técnicos que enfrenté en Grupo Saesa fue la construcción de reportes en Power BI a partir de información extraída desde SAP. El principal reto fue consolidar y estandarizar datos provenientes de distintas descargas, asegurando su calidad y consistencia antes de ser utilizados en los análisis. Para optimizar el procesamiento, desarrollé scripts en Python que automatizaron tareas de limpieza y transformación de datos, reduciendo tiempos de preparación y mejorando la confiabilidad de los reportes finales.;No registrado / No aplica
Participante 48;Estuve de gestor técnico en un proyecto de TI.;Entender los conceptos básicos.
Participante 49;No registrado / No aplica;Mis expectativas son aprender y tener un ruta de aprendizaje adecuada en la cual pueda desarrollar mis habilidades desde lo más básico y pudiendo aplicar lo aprendido en reportes diarios, semanales y mensuales, con el objetivo de tener la capacidad de automatizar tareas repetitivas con las herramientas disponibles en la empresa.
Participante 50;Reunir datos desde distintos orígenes para levantar indicadores de un mismo proceso. Se pudo resolver creando dataflow que consume datos desde origenes como Lakehouses, carpetas de sharepoint, modelos semánticos y otros dataflows.;Adquirir nuevos conocimientos para potenciar mi trabajo con datos y acceder a nuevas herramientas
Participante 51;Trabajando con API's de terceros, usando el APIM como integrador y transformando los datos de tipo JSON a Delta Table;Poder obtener mayor conocimiento de las mejores practicas recomendadas por la comunidad de Microsoft
Participante 52;Confección de Panel Power BI con código DAX, transformación de datos con Python.;Mis expectativas apuntan a tener un dominio de Microsoft Fabric que apunten a automatizar y mejorar nuestros procesos comerciales. La idea es pasar de un conocimiento básico-conceptual a implementación practica de nivel avanzado.
Participante 53;Los datos de Grupo SAESA provienen de diversas fuentes, por lo que históricamente ha sido un desafío consumir información de manera continua y eficiente desde plataformas externas, archivos Excel, PDF, etc. Para resolver esto, se desarrollaron procesos de automatización (RPA) capaces de extraer periódicamente la información, incluso desde doctos PDF, realizando el parseo, transformación y estructura de lo datos para consumo y análisis. En Fabric se construyeron Dataflows y Notebooks para integrar y procesas las múltiples fuentes de información. Después, se implementó un Pipeline que permita actualizar todos los procesos sincronizadamente, incluido el modelo semántico para mantener actualizado el reporte de Power BI. Gracias a esto, se pasó de actualizar la información una vez al mes a hacerse de manera periódica y tomar mejores decisiones.;Me interesa potenciar mi trabajo a través de las distintas herramientas de Fabric. Anteriormente me desempeñaba en un área de la empresa con una alta disponibilidad de datos, donde desarrollábamos modelos analíticos de forma continua. Sin embargo, actualmente trabajo en Gerencia de personas, donde la información está más dispersa y gran parte de los datos se encuentra en documentos y otras fuentes no estructuradas. En ese contexto, veo una gran oportunidad para explorar herramientas que fortalezcan la analítica desde las perspectiva de recursos humanos, permitiendo transformar estos datos en información par ala toma de decisiones. Por otro lado, me gustaría aprender las metodologías y prácticas recomendadas para el uso de Fabric. Gran parte de mi conocimiento lo he adquirido por experiencia, auto aprendizaje y prueba y error. Por lo que podría estar pasando ciertos estándares de buenas prácticas relacionadas con la gestión, integración y gobernanza de datos.
Participante 54;En mi caso soy participe de los proyectos de datos, soy una mezcla de arquitecto de datos con ingeniero de datos. Me encargo de que todo funcione como corresponde y que las soluciones que implementamos sean las optimas.;Aprender nuevas cosas para poder aportar a la compañía.
Participante 55;trabajé con archivos de gran tamaño, tanto que el equipo colapsaba cada vez que quería analizarlos, por lo que tuve que recurrir a varias librerías en python para poder trabajarlos sin problema;adquirir una base robusta en el ámbito de analítica y desarrollar conocimiento de una herramienta que hasta el momento se que existe pero no he tenido la oportunidad de utilizar
Participante 56;Generalmente cuando tengo problemas, en la creación de formulas o consultas sobre la visualización de datos, acceso a Copilot para generar la formula.;Mi expectativa es generar una base de cocimiento que me permita Gestionar las capacidades de mi equipo, los reportes de la subgerencia y las mejores practicas en cuanto al manejo de la información, para que pueda posteriormente desarrollar de mejor forma el autoaprendizaje.
Participante 57;Para resolver algún desafío técnico me ayudo de la inteligencia artificial copilot para resolver cualquier duda que tenga, tanto en python como en Fabric;Aprender uso avanzado de Fabric y aplicar inteligencia artificial
Participante 58;Acabo de implementar en un ambiente no PRD un dashboard en power BI con estructura medallón.;Que nos enseñen a implementar soluciones desde el origen, sobre todo evaluando la capacidad de ingesta de datos.
Participante 59;No registrado / No aplica;Espero que el programa me permita fortalecer una visión integral sobre cómo aplicar la analítica digital para generar valor al negocio. Durante mi trabajo en Grupo Saesa he participado en proyectos de automatización, integración de datos, desarrollo de soluciones en Python, PostgreSQL y Microsoft Fabric, por lo que me interesa complementar esa experiencia con buenas prácticas, metodologías y herramientas que permitan diseñar soluciones más escalables, gobernadas y alineadas con la estrategia de la empresa. Me gustaría profundizar especialmente en ingeniería de datos y analítica sobre Microsoft Fabric, arquitectura de soluciones de datos (Lakehouse, Medallion, Delta Lake y Direct Lake), gobernanza de datos y optimización de procesos analíticos. Asimismo, me interesa seguir desarrollando capacidades en inteligencia artificial aplicada, automatización de procesos y diseño de soluciones analíticas que sean robustas, mantenibles y escalables para apoyar los desafíos del negocio.
Participante 60;No registrado / No aplica;Entender y profundizar las lógicas con las que se administrarán los datos de la compañía, en mi caso trabajamos en la implementación del Meter data management de Indra, el cual archiva diariamente 5 millones de registros
Participante 61;uno de los principales desafios a sido consolidad la informacion de distintas fuentes;poder mejorar tiempos de analisis
Participante 62;Problemas en la calidad de los datos, dificultad para obtenerlos muchas veces y distintas fuentes para la misma información;quedarme con conocimientos conceptuales y prácticos que permitan potenciar al equipo
Participante 63;Me enfrenté a un reporte que requería aplicar múltiples reglas de negocio y un proceso de limpieza profundo antes de ser visualizado. Para evitar la intervención manual repetitiva, centralicé y automaticé toda la transformación y depuración directamente en Power Query (utilizando M y DAX según correspondía). Esto aseguró que la ingesta de datos fuera robusta, estandarizada y se actualizara de forma automática, reduciendo drásticamente los errores humanos y los tiempos de procesamiento;Mis expectativas con el programa son sumamente altas. Aspiro a dominar las herramientas analíticas que nos ofrece la compañía para transformar la gestión operativa de los datos. Mi enfoque principal es aprender a automatizar los procesos de limpieza y reportabilidad, lo que me permitirá reducir las tareas manuales y liberar tiempo crítico para el análisis profundo y la detección de nuevas oportunidades de negocio. Todo esto lo visualizo bajo un marco estricto de cumplimiento, asegurando que cada solución que implemente respectete rigurosamente las políticas de protección de datos y gobernanza de la empresa
Participante 64;No registrado / No aplica;Me interesaría desarrollar habilidades técnicas que me permitan realizar la automatización de reportabilidad, mejorar mi capacidad analítica y que me permita a futuro disminuir mis tiempos en extraer y limpiar datos.
